,LocationID,Borough,Zone
6198,237,Manhattan,Upper East Side South
6199,234,Manhattan,Union Sq
6200,249,Manhattan,West Village
6201,90,Manhattan,Flatiron
6202,116,Manhattan,Hamilton Heights
6203,141,Manhattan,Lenox Hill West
6204,79,Manhattan,East Village
6205,263,Manhattan,Yorkville West
6206,144,Manhattan,Little Italy/NoLiTa
6207,158,Manhattan,Meatpacking/West Village West
6208,43,Manhattan,Central Park
6209,148,Manhattan,Lower East Side
6210,236,Manhattan,Upper East Side North
6211,263,Manhattan,Yorkville West
6212,48,Manhattan,Clinton East
6213,68,Manhattan,East Chelsea
6214,140,Manhattan,Lenox Hill East
6215,114,Manhattan,Greenwich Village South
6216,239,Manhattan,Upper West Side South
6217,138,Queens,LaGuardia Airport
6218,141,Manhattan,Lenox Hill West
6219,263,Manhattan,Yorkville West
6220,237,Manhattan,Upper East Side South
6221,50,Manhattan,Clinton West
6222,213,Bronx,Soundview/Castle Hill
6223,138,Queens,LaGuardia Airport
6224,163,Manhattan,Midtown North
6225,75,Manhattan,East Harlem South
6226,68,Manhattan,East Chelsea
6227,68,Manhattan,East Chelsea
6228,114,Manhattan,Greenwich Village South
6229,234,Manhattan,Union Sq
6230,75,Manhattan,East Harlem South
6231,249,Manhattan,West Village
6232,161,Manhattan,Midtown Center
6233,68,Manhattan,East Chelsea
6234,170,Manhattan,Murray Hill
6235,246,Manhattan,West Chelsea/Hudson Yards
6236,238,Manhattan,Upper West Side North
6237,142,Manhattan,Lincoln Square East
6238,113,Manhattan,Greenwich Village North
6239,142,Manhattan,Lincoln Square East
6240,4,Manhattan,Alphabet City
6241,79,Manhattan,East Village
6242,144,Manhattan,Little Italy/NoLiTa
6243,161,Manhattan,Midtown Center
6244,164,Manhattan,Midtown South
6245,264,Unknown,NV
6246,148,Manhattan,Lower East Side
6247,238,Manhattan,Upper West Side North
6248,68,Manhattan,East Chelsea
6249,75,Manhattan,East Harlem South
6250,263,Manhattan,Yorkville West
6251,164,Manhattan,Midtown South
6252,142,Manhattan,Lincoln Square East
6253,79,Manhattan,East Village
6254,249,Manhattan,West Village
6255,141,Manhattan,Lenox Hill West
6256,262,Manhattan,Yorkville East
6257,234,Manhattan,Union Sq
