BoroName,BoroCode,CTLabel,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
Queens,4,118,11800,4011800,E,QN54,Richmond Hill,4111,7836.293275,1736072.436
Queens,4,278,27800,4027800,E,QN76,Baisley Park,4112,5752.449594,1887113.136
Queens,4,264,26400,4026400,E,QN01,South Jamaica,4112,8552.618203,2739605.166
Queens,4,182,18200,4018200,E,QN76,Baisley Park,4112,7087.166408,2762694.885
Queens,4,186,18600,4018600,E,QN76,Baisley Park,4112,7030.779612,1922308.542
Bronx,2,274.01,27401,2027401,I,BX10,Pelham Bay-Country Club-City Island,3703,13854.23484,7554415.843
Brooklyn,3,118,11800,3011800,I,BK34,Sunset Park East,4012,7958.054618,2359854.017
Queens,4,522,52200,4052200,I,QN08,St. Albans,4112,6248.712501,1827899.347
Queens,4,516,51600,4051600,E,QN34,Queens Village,4105,7138.185191,1983892.448
Queens,4,534.01,53401,4053401,I,QN33,Cambria Heights,4105,7981.299501,2799985.294
Queens,4,484,48400,4048400,I,QN07,Hollis,4112,8758.239128,4466742.569
Queens,4,500,50000,4050000,E,QN07,Hollis,4112,10937.19743,3612066.098
Queens,4,554,55400,4055400,I,QN34,Queens Village,4105,6806.192494,2368771.921
Bronx,2,248,24800,2024800,E,BX49,Pelham Parkway,3704,7488.971443,2992858.723
Bronx,2,296,29600,2029600,I,BX49,Pelham Parkway,3704,17710.11825,7711394.519
Queens,4,328,32800,4032800,I,QN66,Laurelton,4105,11131.2659,3952889.779
Queens,4,476,47600,4047600,I,QN06,Jamaica Estates-Holliswood,4106,11595.61722,5807728.738
Queens,4,478,47800,4047800,I,QN06,Jamaica Estates-Holliswood,4106,14624.67286,7028450.403
Queens,4,295,29500,4029500,I,QN63,Woodside,4109,7116.25583,1972793.066
Staten Island,5,11,1100,5001100,E,SI22,West New Brighton-New Brighton-St. George,3903,8675.079208,3496830.099
Staten Island,5,17,1700,5001700,E,SI37,Stapleton-Rosebank,3903,7691.398676,3295780.547
Queens,4,1529.01,152901,4152901,I,QN45,Douglas Manor-Douglaston-Little Neck,4104,16343.84512,15022067.4
Queens,4,650,65000,4065000,I,QN66,Laurelton,4105,9259.521389,4304602.015
Bronx,2,261,26100,2026100,I,BX30,Kingsbridge Heights,3706,6369.748694,1883343.782
Bronx,2,263,26300,2026300,E,BX30,Kingsbridge Heights,3706,7522.472055,1715401.301
Bronx,2,316,31600,2031600,I,BX31,Allerton-Pelham Gardens,3704,6325.934134,1906941.087
Bronx,2,324,32400,2032400,E,BX07,Bronxdale,3704,7630.413623,2885687.627
Bronx,2,326,32600,2032600,E,BX31,Allerton-Pelham Gardens,3704,8804.831956,3568723.695
