pickup_longitude,pickup_latitude,PUcity,PUdistrict
-73.98217773,40.75763702,New York,Theater District-Times Square
-74.00668335,40.73360062,New York,West Village
-73.98632813,40.75653076,New York,Theater District-Times Square
-73.91516113,40.76374817,Astoria,Astoria
-74.00515747,40.74620056,New York,Chelsea
-73.9827652,40.74829865,New York,Midtown South Central
-73.97564697,40.78183746,New York,Upper West Side
-74.00630951,40.71702576,New York,Tribeca
-74.00238037,40.74000168,New York,Chelsea
-73.99318695,40.74119568,New York,Flatiron District
-73.98809814,40.74994278,New York,Garment District
-73.98453522,40.75480652,New York,Theater District-Times Square
-73.99993134,40.72683716,New York,Soho
-73.98430634,40.75926971,New York,Theater District-Times Square
-73.96481323,40.77316284,New York,Upper East Side
-73.99047089,40.73471069,New York,Gramercy Park
-73.99249268,40.75325012,New York,Garment District
-73.98905945,40.72148132,New York,Lower East Side
-73.99732971,40.72177887,New York,Nolita
-73.99010468,40.75084305,New York,Garment District
-73.94602966,40.77723312,New York,Yorkville
-73.86282349,40.76908493,Flushing,
-73.98845673,40.72748184,New York,East Village
-73.9883728,40.72221756,New York,Lower East Side
-73.99331665,40.73646164,New York,Greenwich Village
-73.96363831,40.77418137,New York,Upper East Side
-74.00154114,40.72767639,New York,Greenwich Village
-73.98665619,40.72570801,New York,East Village
-73.95733643,40.77709579,New York,Upper East Side
-73.98168182,40.75639343,New York,Midtown Center
-74.01160431,40.72151184,New York,Tribeca
-73.98303986,40.77090836,New York,Lincoln Square
-74.00231934,40.74529648,New York,Chelsea
-73.92647552,40.74430847,Long Island City,Sunnyside
-73.97320557,40.74415207,New York,Tudor City
-73.93036652,40.7614212,Astoria,Astoria
-73.99740601,40.73662567,New York,Greenwich Village
-73.9894104,40.77497482,New York,Lincoln Square
-73.96717072,40.76371384,New York,Upper East Side
-73.97520447,40.79032135,New York,Upper West Side
-73.97424316,40.75144958,New York,Midtown Center
0,0,,
0,0,,
-73.97745514,40.75837708,New York,Midtown Center
-73.97675323,40.76316833,New York,Midtown Center
-73.99302673,40.74799347,New York,Chelsea
-73.95287323,40.72701263,Brooklyn,Greenpoint
-73.97829437,40.73696899,New York,Kips Bay
-73.98939514,40.76294327,New York,Clinton
-73.97917175,40.76443863,New York,Clinton
-73.99926758,40.74412537,New York,Chelsea
-73.97688293,40.75391006,New York,Midtown Center
-73.97627258,40.75482178,New York,Midtown Center
-73.99082184,40.75592041,New York,Garment District
-73.97102356,40.79840469,New York,Upper West Side
-74.00765228,40.7322731,New York,West Village
-73.99745941,40.74092484,New York,Chelsea
-73.97427368,40.75058746,New York,Murray Hill
-73.96135712,40.77164841,New York,Upper East Side
-73.99030304,40.75666046,New York,Garment District
-73.97705841,40.7379837,New York,Kips Bay
-74.01302338,40.70761108,New York,Financial District
-73.95466614,40.77775574,New York,Yorkville
-74.00536346,40.72148132,New York,Tribeca
-73.9961319,40.74906158,New York,Chelsea
-73.97286224,40.75257492,New York,Turtle Bay
-73.97961426,40.76229095,New York,Clinton
-73.92139435,40.74700546,Sunnyside,Sunnyside
-73.94972992,40.77254486,New York,Yorkville
-73.99185181,40.71604919,New York,Chinatown
-73.95448303,40.77827835,New York,Upper East Side
-74.0007019,40.74740601,New York,Chelsea
-73.95304108,40.76652908,New York,Upper East Side
-73.97978973,40.75226593,New York,Midtown South Central
-73.9805069,40.76070786,New York,Theater District-Times Square
-73.96953583,40.76631927,New York,Upper East Side
-73.97795868,40.75463104,New York,Midtown Center
-73.97880554,40.76144409,New York,Midtown Center
-73.97943878,40.78084183,New York,Upper West Side
-73.96489716,40.7596817,New York,Turtle Bay
-73.99588776,40.68712997,Brooklyn,Cobble Hill
-74.00771332,40.71159744,New York,Civic Center
-74.00069427,40.74707413,New York,Chelsea
-74.00493622,40.74071503,New York,West Village
-73.98069763,40.76440048,New York,Clinton
-73.98642731,40.72218704,New York,Lower East Side
-74.0083313,40.71067047,New York,Financial District
