STT,pickup_longitude,pickup_latitude,PUcity,PUdistrict
158,-73.98219,40.76291,New York,Theater District-Times Square
159,-73.98655,40.73416,New York,Gramercy Park
160,-73.96597,40.76051,New York,Turtle Bay
161,-73.96229,40.76799,New York,Upper East Side
162,-73.97878,40.74781,New York,Murray Hill
163,-74.00229,40.73961,New York,West Village
164,-73.98354,40.72584,New York,East Village
165,-73.98401,40.7294,New York,East Village
166,-73.98591,40.74091,New York,Midtown South Central
167,-73.98113,40.76492,New York,Clinton
168,-74.00504,40.71917,New York,Tribeca
169,-74.0034,40.74364,New York,Chelsea
170,-73.88931,40.7549,Jackson Heights,Jackson Heights
171,-73.95934,40.76317,New York,Upper East Side
172,-73.95248,40.77725,New York,Yorkville
173,-74.00427,40.72404,New York,Soho
174,-73.86377,40.76995,Flushing,
175,-73.98266,40.74247,New York,Kips Bay
176,-73.98442,40.75692,New York,Theater District-Times Square
177,-74.00766,40.71036,New York,Financial District
178,-74.00739,40.74348,New York,Chelsea
179,-73.97874,40.73677,New York,Gramercy Park
180,-73.97627,40.7599,New York,Midtown Center
181,-73.96506,40.77253,New York,Upper East Side
182,-73.98864,40.73651,New York,Gramercy Park
183,-74.001,40.74172,New York,Chelsea
184,-73.98262,40.75701,New York,Midtown Center
185,-73.95687,40.77113,New York,Upper East Side
186,-73.97337,40.76372,New York,Midtown Center
187,-73.97393,40.79201,New York,Upper West Side
188,-73.78991,40.64702,Jamaica,
189,-73.99507,40.76029,New York,Clinton
190,-73.97991,40.72263,New York,East Village
191,-74.00459,40.72152,New York,Soho
192,-73.99124,40.73265,New York,Greenwich Village
193,-73.99237,40.75651,New York,Garment District
194,-73.96484,40.79152,New York,Upper West Side
195,-74.00129,40.71888,New York,Chinatown
196,-73.97918,40.75546,New York,Midtown Center
197,-73.98515,40.76344,New York,Theater District-Times Square
198,-73.9693,40.7854,New York,Upper West Side
199,-73.90084,40.75387,Woodside,Woodside
200,-73.99257,40.76339,New York,Clinton
201,-73.99199,40.75933,New York,Clinton
202,-73.95462,40.76384,New York,Upper East Side
203,-73.99634,40.76354,New York,Clinton
204,-73.87338,40.77401,Flushing,
205,-73.95208,40.77771,New York,Yorkville
206,-73.9927,40.7635,New York,Clinton
207,-73.97576,40.75825,New York,Midtown Center
208,-73.97878,40.75785,New York,Midtown Center
209,-73.99188,40.7219,New York,Lower East Side
210,-73.9753,40.76141,New York,Midtown Center
